,spam,Prediction,text
5560,0,1,"Subject: us news archive @ ft . com  reliable country intelligence for a challenging world  with country reports supporting your decisions , you  ' re  working with the best source of country intelligence  available . turn to the economist intelligence unit at :  http : / / store . eiu . com  dear ft . com user  ft . com  ' s global archive can provide the answer to a multitude  of business queries :  * access information from more than 1 , 200 us business news  publications  * simultaneously search multiple sources e . g . business and  industry papers , business wire , and the pr newswire - usa .  * obtain a global view by searching across more than 6 million  articles worldwide .  with a variety of search options and powerful software , you will  be able to find the information you need in no time at all .  for the definitive answer to your business - related query , visit  and bookmark this page :  rch . jsp  regards ,  ft . com  why not forward this e - mail to a friend or colleague who may  find this information useful ?  if you no longer wish to receive further e - mails from us  please send an e - mail to ft . com . unsubscribe @ newsbyemail . ft . com  with the single word "" unsubscribe "" as the subject of the  message . your name will then be removed from our mailing  list .  if you have forgotten your password for ft . com simply visit "
4358,0,1,"Subject: ps on the new xmim tool for excel  when you install this , you need to change the xmim server from "" xmimhost "" to  "" limbo "" ( port is still 0 )"
5336,0,1,"Subject: out of the office  i will be out of the office september 18 - 19 , 2000 and will return wednesday  september 20 , 2000 . if you should need anything in the mean time please call  sheila walton at x 30649 or the hr assistant ramona perkins at x 58165 ."
2965,0,1,Subject: re : ken lay ' s speech  so is it bigger than his tax cut on an annual average basis ?
1781,0,1,"Subject: dear vince ,  bardzo dziekuje za podeslana literature , szczegolnie drugie wydanie  ksiazki . bylismy w londynie w czerwcu zeszlego roku , ale w ksiegarni  znalezlismy tylko piersze wydanie . obaj z alkiem ( ojcem ) wspolpracujemy z  energetyka ( glownie polska ) od kilku lat . w zeszlym roku wydalismy ksiazke  "" gielda energii : strategie zarzadzania ryzykiem "" , a obecnie pracujemy nad  jej angielskim wydaniem . na jaki adres ci ja przyslac ?  serdeczne pozdrowienia ,  rafal"
3632,0,1,"Subject: re : monday presentation  i have made one correction to guadalupe ' s degree - - - it is actually ma , law  and diplomacy rather than ms , finance .  here is the corrected version ."
2447,0,1,"Subject: reimbursement of individually billed items  the memo distributed on june 27 on reimbursement of individually billed items  requires  clarification . the intent of the memo was to give employees an alternate  method  of paying for pagers , cell phones , etc . employees can continue to submit  these  invoices to accounts payable for processing or pay these items with their  corporate  american express card and request reimbursement through an expense report .  either  way is an acceptable way to process these small dollar high volume invoices ."
3532,0,1,"Subject: london research intranet  felipe  following our discussion please close down all intranet access to the london  research group site . inaccuracies have been found in the content which may  have implications for our trading operations . closing the site will force  traders to contact our group direct , ensuring only correct information is  passed .  the site will be completely overhauled over the coming months , so i see  little benefit in reinstating access to the site in the near future .  many thanks ,  steve"
3937,0,1,"Subject: platts energy trader free trial  please find today ' s complimentary issue of platts energy trader attached  above . if you have any questions or would like to subscribe now , call  877 - 286 - 8897 or 212 - 904 - 2004 ; e - mail , info @ platts . com . meanwhile , we hope you  enjoy today ' s issue of platts energy trader .  if you need to download acrobat reader to read this file , go to  www . adobe . com . to stop the free trial , hit reply and type "" stop trial . ""  - eto 32301 . pdf"
4965,0,1,"Subject: electricity prices  vince ,  please find attached electricity prices file , let me know if you need any  additional information .  sincerely , elena"
4894,0,1,Subject: re : congratulations  thanks vince . it was good to learn of your promotion as well .  cheers .
3434,0,1,"Subject: your riskmetrics site password  dear ,  thank you for registering .  your requested username is vincek and your password is longrun .  you may use this login to :  - use the data directory at http : / / www . riskmetrics . com / products / data / index . cgi  - access the creditmetrics datasets at  . html  - access the riskmetrics datasets at  tml  - read our technical documents at  - read our monitors at http : / / www . riskmetrics . com / research / journals / index . cgi  - read risk management : a practical guide at  please let us know if you have any questions or concerns ,  rmg web services  web @ riskmetrics . com"
1665,0,1,"Subject: re : my model for spikes  dear vince ,  thank you very much for your e - mail . i am very excited about the opportunity y  to see you soon in dallas . any week day , in general , and fridays , in  particular ,  is convenient for me . please let me know what day might be convenient for you .  i look forward to hearing from you and to seeing you soon .  sincerely ,  valery"
2166,0,1,"Subject: re : joao neves  thank you vince . i look forward to speaking with you tomorrow , and in  meeting you on april 13 th !  regards ,  kate szablya  power brokers , llc  energy search and recruitment  303 - 716 - 2987  303 - 619 - 7589 cell  303 - 716 - 3426 fax  www . powerbrokersllc . com"
2423,0,1,"Subject: asset swaps vs cds ' s  - - - - - - - - - - - - - - - - - - - - - - forwarded by bryan seyfried / lon / ect on 30 / 03 / 2001  17 : 12 - - - - - - - - - - - - - - - - - - - - - - - - - - -  martin mcdermott  23 / 03 / 2001 18 : 47  to : john sherriff / lon / ect @ ect , bryan seyfried / lon / ect @ ect  cc :  subject : asset swaps vs cds ' s  john ,  i haven ' t had much time to put something together on this issue .  fundamentally both instruments represent the same credit risk , i . e . same  credit events and contingent payments , both represent senior unsecured credit  risk . the differences in pricing therefore arise purely from supply and  demand . one would expect generally that the asset swap would be lower than  the cds because of liquidity : there are only so many bonds out there , and so  demand for asset swaps is limited . i am attaching a one page note by jp  morgan where they claim that one of the principal reasons for the cds to be  more expensive is people hedging convertible bonds by combining ( 1 ) a call  option on the equity and ( 2 ) a cds . if the call is cheap they will be  willing to pay more for the cds , driving the price up . i ' ll try to  synthesize something more complete next week .  cheers  martin"
2587,0,1,Subject: happy holidays !  i wish you wonderful holidays and a  happy happy new year with many  blessings !  shirley
2153,0,1,"Subject: re : from larry roberts  thanks for the referral on this matter . we want to be the best and honor our  affirmative action and accessibility responsibility to all people , so we plan  to satisfy at least the priority 1 points in the web content accessibility  guidelines put out by the world wide web consortium . in addition , we will  continue to monitor and improve as we develop new tools . thanks again  have a good weekend !"
1535,0,1,"Subject: reactions password reminder  = = = = = = = = = = = = = = = = = reactions password reminder = = = = = = = = = = = = = = = = =  hi ,  we do not seem to be able to see you on our systems , please try registering  and you will automatically receive a username and password .  if you have already registered on this website , then please let us know and  we will investigate further .  regards .  reactions support - euromoney publications plc .  tel : + ( 44 ) 0171 779 8927 fax : + ( 44 ) 0171 779 8704 "
2896,0,1,"Subject: the business of power  june 23 , 2000  international electric industry conference  for the past five years , the association of power exchanges ( apex )  has held its business meetings in different locations around the  world . for the first time , an industry conference is being held to  compliment these meetings , providing a means to connect industrial  electricity exchanges , isos and pools with senior leaders in the  worldwide electric industry .  for more information we have attached an adobe acrobat pdf file . the  document requires adobe acrobat reader 2 . 1 or higher . the latest  version is available to download from http : / / www . adobe . com .  or view our website : http : / / www . apex 2000 conf . com .  # 12 - apex 2000 . pdf"
4458,0,1,"Subject: internal guest access to enrononline  vince ,  following is an internal guest id and password which will allow you view only  access to enrononline .  please note , the user id and password are case sensitive .  user id : eol 59545  password : welcome !  if you have any difficulties logging in , please contact the enrononline  helpdesk at 713 - 853 - help ( 4357 )  with any questions ."
3709,0,1,"Subject: address for recommendations  vince ,  please forward the recommendations to the following address :  2569 windbreak dr .  alexandria , va 22306  don ' t forget to label each envelope , e . g . "" columbia "" , etc . , and to sign  each envelope over the adhesive seal . i must receive the package  before the new year in order to meet the submission deadline .  thank you for your time , and happy holidays .  - hector"
2459,0,1,"Subject: rab graph  i believe this will be helpful in your analysis .  - - - - - - - - - - - - - - - - - - - - - - forwarded by michael anderson / hou / azurix on 08 / 22 / 2000  08 : 35 am - - - - - - - - - - - - - - - - - - - - - - - - - - -  from : keith harris / wsx / azurix @ exchange on 08 / 03 / 2000 01 : 40 pm gdt  to : michael anderson / hou / azurix @ azurix  cc : colin skellett / wsx / azurix @ exchange  subject : fw : amended index graph  michael  i have got csfb working on the amendment you asked for .  in the meantime we have produced a graph which shows , as indices , market  values of the water companies and the rab of the industry since  privatisation . the following points come out  1 market values overtime have been 1 . 1 x rab  2 the result is significantly skewed by the period between mid 1997 and end  1998 when the ratio was cl . 5 x .  3 the premium to rab is only found at a time when political uncertainty has  been removed the companies are able to outperform the regulatory deal  significantly . those days are gone - a fact witnessed by the decline in  share prices in the last year  just to note that the graph we have produced here is a weighted average of  water companies - whereas the figures we did yesterday on the rab market  value ratio is a straight average . obviously that influences the numbers a  little .  on customerco . csfb have contacted around 7 energy companies . the result  has been positive and they are prepared to enter our journal exercise . i  await a revised fee proposal but csfb have been advised that it should be  more modest than the last one !  keith  - - - - - original message - - - - -  from : david kitchener  sent : 03 august 2000 13 : 27  to : keith harris  subject : amended index graph"
5660,0,1,Subject: btu ' s daily power report - eastern edition  attached is the latest issue of btu ' s daily power report : eastern edition  e - mail : info @ btu . net  phone : 732 - 758 - 8222  fax : 732 - 758 - 8286  - peo 71100 . pdf
2163,0,1,"Subject: interview schedule for jeff lei he  attached please find the interview packet for the above - referenced person .  the interview will happen friday july 14 , 2000 . please print all three  documents for your hard copies . if you have any questions , or conflicts of  schedule , please do not hesitate to contact me .  sean  58701"
1816,0,1,Subject: kudos  congratulations on your promotion - - well deserved ! !  lucy
3733,0,1,"Subject: department of energy is deploying a corporate portal at facilitie s  across the country  star information technology brings has the tools needed to help energy  companies gain knowledge . if it ' s information from oasis to market prices .  the events that change prices such as weather and more are always just one  click away with star information technologys ' powerful portal tools . our  portal products are the difference between seeing and doing . hosting dynamic  applications such as on - line reports , calendars , e - mail , and commerce  services create a one - stop shop for users to go about almost all of their  daily tasks : analyzing customer trends , checking schedules , viewing revenue -  or project - related performance metrics , and buying or selling products .  combining all the information relevant to users ' work with the ability to  act on that information enables organizations to get more done .  five government agencies deploy plumtree corporate portal at hundreds of  facilities -  the naval air systems command ( navair ) , department of energy ( doe ) ,  department of defense , national institutes of health and army public affairs  center are deploying a corporate portal at facilities across the country as  part of ongoing governmental initiatives to maximize efficiency , develop  more online content and provide private sector levels of customer service .  the plumtree corporate portal integrates regulatory , enforcement and  incident database reports , enterprise applications and internet services  into the agencies ' portals as portal gadgets ( tm ) , plug - in modules that embed  components of applications and interactive internet services in a  personalized portal page . the portal growth in the public sector is driven  by its success applying business technology to the specific challenges of  government , empowering federal agencies to simplify access to their data ,  reduce paperwork , benefit from the resources on the internet and share  information securely with their employees , contractors and constituencies .  for more information on how star information technology can help your  business turn knowledge into power contact us today at 508 - 359 - 6891 ext 115 .  christopher k . heisler  product manager  508 - 359 - 6892 ext 115  www . starit . com  cheisler @ starit . com  we make knowledge power"
4974,0,1,"Subject: re : template for a proposal  mark & todd  vince and i have been working along those lines and have narrowed the search  to ( 1 ) scripps institution of oceanography , ( 2 ) lamont - daugherty earth  observatory , and ( 3 ) cola - center for ocean , land and atmosphere . we have  contacted the principles at each of these institutions , made on - site visits  to the facilities , and verbaly explored preliminary research program  proposals .  perhaps we could meet next week to coordinate this effort .  - - - mike"
1971,0,1,"Subject: re : hello  hello ,  i just received your message .  are still in nyc ? i like it a lot .  i wish my job was associated with traveling .  according to saturday meeting - i will be there .  have a save trip back home .  patrycja  from : vkaminski @ aol . com save address - block sender  to : pdalecka @ hotmail . com save address  cc : vkaminski @ aol . com save address  subject : re : hello  date : mon , 13 mar 2000 23 : 22 : 26 est  reply reply all forward delete previous next close  hello patrycja ,  greetings from the big apple .  saturday works for me . let ' s meet at 4 : 00 p . m . at carrabba ' s . it ' s an  italian  restaurant on i - 45 in the woodlands . after you pass conroe , take the  research  forest exit ( 5 - 10 miles past conroe ) and stay on the feeder road . go  through  the lights ( research forest intersection with i - 45 ) . as you continue along  the feeder road you will pass on your right the woodlands mall and the  exxonmobil building , . the restaurant will be on your right , about 200 - 300  yards before the next lights ( i - 45 and sawdust ) .  i shall have my cell phone with me ( 713 898 9960 ) . in case you arrive early  you can stop at my home : 10 snowbird place , ( 281 ) 367 5377 . i shall send you  later the instructions how to get there . i shall leave home around 3 : 45 .  look forward to meeting you .  vince"
